Permit Issued,County,Township,API #,Status,Operator,Well Name & Number,Surface Lat,Surface Long,Endpoint Lat,Endpoint Long
04/23/2013,CARROLL,UNION,34019222990000,Producing,CHESAPEAKE EXPLORATION LLC,PUTNAM 34-13-5 5H,40.5306281,-81.0766586,40.5499447,-81.0884417
05/17/2013,CARROLL,UNION,34019223000000,Producing,CHESAPEAKE EXPLORATION LLC,PUTNAM 34-13-5 6H,40.5305618,-81.0768399,40.514909,-81.0712
01/18/2013,CARROLL,WASHINGTON,34019223010000,Producing,CHESAPEAKE EXPLORATION LLC,HARVEY 16-14-5 3H,40.6061195,-81.0226055,40.6210699,-81.033438
01/18/2013,CARROLL,WASHINGTON,34019223020000,Producing,CHESAPEAKE EXPLORATION LLC,HARVEY 16-14-5 5H,40.6060992,-81.0225231,40.6221924,-81.0297744
02/26/2013,CARROLL,PERRY,34019223030000,Producing,CHESAPEAKE EXPLORATION LLC,RAY HAYLEY 5-13-6 3H,40.4521298,-81.1115005,40.4708815,-81.1238594
01/28/2013,CARROLL,FOX,34019223040000,Permitted,CHESAPEAKE EXPLORATION LLC,CTF 32-13-4 5H,40.5736768,-80.9719553,40.5897553,-80.9792957
03/06/2013,CARROLL,PERRY,34019223050000,Producing,CHESAPEAKE EXPLORATION LLC,RAY HAYLEY 5-13-6 8H,40.4519763,-81.1115216,40.4388325,-81.101229
04/15/2013,CARROLL,PERRY,34019223060000,Producing,CHESAPEAKE EXPLORATION LLC,RAY HAYLEY 5-13-6 1H,40.4520813,-81.1115733,40.4647339,-81.1240115
01/16/2014,CARROLL,PERRY,34019223070000,Drilled,CHESAPEAKE EXPLORATION LLC,RAY HAYLEY 5-13-6 5H,40.4520774,-81.1114764,40.4723823,-81.1203775
01/16/2014,CARROLL,PERRY,34019223080000,Drilled,CHESAPEAKE EXPLORATION LLC,RAY HAYLEY 5-13-6 6H,40.4520288,-81.1115457,40.4377797,-81.1033601
02/13/2014,CARROLL,PERRY,34019223090000,Drilled,CHESAPEAKE EXPLORATION LLC,RAY HAYLEY 5-13-6 10H,40.4520277,-81.1114523,40.426894,-81.0876928
07/09/2013,CARROLL,LEE,34019223190000,Producing,CHESAPEAKE EXPLORATION LLC,EVANS 21-12-4 3H,40.5110294,-80.9257643,40.531512,-80.9391283
04/17/2013,CARROLL,LOUDON,34019223210000,Producing,CHESAPEAKE EXPLORATION LLC,SUNNYBROOK 25-12-4 6H,40.4706379,-80.9501454,40.4571384,-80.9464702
06/26/2013,CARROLL,FOX,34019223230000,Producing,CHESAPEAKE EXPLORATION LLC,JAVERSAK A 23-13-4 10H,40.6193376,-80.9371951,40.6067486,-80.9201005
05/08/2013,CARROLL,FOX,34019223250000,Producing,CHESAPEAKE EXPLORATION LLC,JAVERSAK A 23-13-4 3H,40.6193662,-80.9372845,40.6312742,-80.943022
05/08/2013,CARROLL,FOX,34019223260000,Producing,CHESAPEAKE EXPLORATION LLC,JAVERSAK A 23-13-4 1H,40.6193113,-80.9372858,40.6299188,-80.9465129
04/12/2013,CARROLL,LOUDON,34019223280000,Producing,CHESAPEAKE EXPLORATION LLC,BARBARA 5-12-5 8H,40.4417581,-80.9941424,40.4288532,-80.9863332
04/12/2013,CARROLL,LOUDON,34019223290000,Drilled,CHESAPEAKE EXPLORATION LLC,BARBARA 5-12-5 10H,40.4417581,-80.9941424,40.4304232,-80.9829997
04/12/2013,CARROLL,LOUDON,34019223300000,Drilled,CHESAPEAKE EXPLORATION LLC,BARBARA 5-12-5 6H,40.4417055,-80.9941148,40.4272937,-80.9896412
02/21/2013,CARROLL,AUGUSTA,34019223310000,Producing,CHESAPEAKE EXPLORATION LLC,JEFFERY 2-15-5 10H,40.7190296,-80.9954341,40.7069369,-80.9821444
02/22/2013,CARROLL,EAST,34019223320000,Producing,CHESAPEAKE EXPLORATION LLC,CONIGLIO 7-14-4 3H,40.7161806,-80.9591164,40.7314965,-80.9703628
02/25/2013,CARROLL,WASHINGTON,34019223330000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK FARMS 22-14-5 6H,40.6108847,-81.0403087,40.596573,-81.0336255
02/25/2013,CARROLL,EAST,34019223340000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK 31-14-4 10H,40.6454568,-80.9598703,40.6322886,-80.945744
05/02/2013,CARROLL,WASHINGTON,34019223350000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK FARMS 22-14-5 5H,40.6109113,-81.0402361,40.6281136,-81.0482354
02/25/2013,CARROLL,WASHINGTON,34019223360000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK FARMS 22-14-5 1H,40.6109396,-81.0403075,40.6230988,-81.053515
05/13/2013,CARROLL,WASHINGTON,34019223370000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK FARMS 22-14-5 10H,40.6108564,-81.0402373,40.5934685,-81.0232
05/13/2013,CARROLL,WASHINGTON,34019223380000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK FARMS 22-14-5 8H,40.6108298,-81.0403099,40.5945056,-81.0274121
03/13/2013,CARROLL,EAST,34019223390000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK 31-14-4 6H,40.6454305,-80.9599574,40.6295188,-80.9526549
02/26/2013,CARROLL,UNION,34019223400000,Drilled,CHESAPEAKE EXPLORATION LLC,MARSHA 18-14-6 10H,40.5539979,-81.1346537,40.5394484,-81.1214229
02/26/2013,CARROLL,UNION,34019223410000,Producing,CHESAPEAKE EXPLORATION LLC,MARSHA 18-14-6 5H,40.5540661,-81.1346163,40.5687304,-81.1421449
02/27/2013,CARROLL,EAST,34019223420000,Producing,CHESAPEAKE EXPLORATION LLC,BURRY 20-14-4 6H,40.6820949,-80.938884,40.665925,-80.9314696
03/06/2013,CARROLL,UNION,34019223480000,Producing,CHESAPEAKE EXPLORATION LLC,MARSHA 18-14-6 3H,40.5540669,-81.1346883,40.5672334,-81.145552
03/07/2013,CARROLL,EAST,34019223490000,Producing,CHESAPEAKE EXPLORATION LLC,BUCK 24-15-5 6H,40.6716244,-80.9834455,40.6601901,-80.9768285
08/29/2013,CARROLL,LEE,34019223500000,Drilled,CHESAPEAKE EXPLORATION LLC,SHAW PROPERTIES 4-13-5 1H,40.5170905,-80.9848085,40.5272171,-80.9990873
08/29/2013,CARROLL,LEE,34019223510000,Drilled,CHESAPEAKE EXPLORATION LLC,SHAW PROPERTIES 4-13-5 3H,40.5170595,-80.984748,40.528227,-80.9963446
08/29/2013,CARROLL,LEE,34019223520000,Drilled,CHESAPEAKE EXPLORATION LLC,SHAW PROPERTIES 4-13-5 5H,40.5170285,-80.9846912,40.5292725,-80.9936011
06/03/2013,CARROLL,LEE,34019223530000,Drilled,CHESAPEAKE EXPLORATION LLC,SHAW PROPERTIES 4-13-5 12H,40.5169237,-80.984654,40.5020179,-80.9664507
06/03/2013,CARROLL,LEE,34019223540000,Drilled,CHESAPEAKE EXPLORATION LLC,SHAW PROPERTIES 4-13-5 10H,40.5169574,-80.9847108,40.5007653,-80.9694716
09/27/2013,CARROLL,LEE,34019223550000,Drilled,CHESAPEAKE EXPLORATION LLC,SHAW PROPERTIES 4-13-5 8H,40.5169884,-80.9847712,40.498828,-80.9738459
08/29/2013,CARROLL,LEE,34019223570000,Drilled,CHESAPEAKE EXPLORATION LLC,SHAW PROPERTIES 4-13-5 7H,40.5169975,-80.9846307,40.5302906,-80.9908581
05/21/2013,CARROLL,EAST,34019223680000,Producing,CHESAPEAKE EXPLORATION LLC,BUCK 24-15-5 1H,40.6716734,-80.9834156,40.6878633,-80.9974207
03/18/2013,CARROLL,FOX,34019223720000,Producing,CHESAPEAKE EXPLORATION LLC,BEADNELL A 21-13-4 8H,40.5907221,-80.9369639,40.574912,-80.9239964
08/14/2013,CARROLL,PERRY,34019223730000,Drilled,CHESAPEAKE EXPLORATION LLC,R MILLER 25-13-5 5H,40.4771991,-81.0771031,40.4933114,-81.0848492
05/06/2013,CARROLL,EAST,34019223740000,Permitted,CHESAPEAKE EXPLORATION LLC,S FARMS 32-14-4 10H,40.6473084,-80.9481714,40.6366604,-80.9353533
05/06/2013,CARROLL,EAST,34019223750000,Producing,CHESAPEAKE EXPLORATION LLC,S FARMS 32-14-4 8H,40.6472375,-80.9482019,40.6351296,-80.938856
04/17/2013,CARROLL,EAST,34019223760000,Permitted,CHESAPEAKE EXPLORATION LLC,S FARMS 32-14-4 6H,40.6472357,-80.948274,40.6336435,-80.9422205
04/17/2013,CARROLL,EAST,34019223790000,Producing,CHESAPEAKE EXPLORATION LLC,S FARMS 32-14-4 3H,40.6473021,-80.9483157,40.6616491,-80.9584602
04/08/2013,CARROLL,LEE,34019223800000,Producing,CHESAPEAKE EXPLORATION LLC,JOHN ADAMS 30-12-4 6H,40.5539342,-80.9448179,40.5374793,-80.9378368
05/13/2013,CARROLL,LOUDON,34019223890000,Permitted,CHESAPEAKE EXPLORATION LLC,STROPKI 20-12-4 1H,40.4882127,-80.9403878,40.5041457,-80.9550513
06/03/2013,CARROLL,LOUDON,34019223900000,Permitted,CHESAPEAKE EXPLORATION LLC,STROPKI 20-12-4 5H,40.4882383,-80.9402505,40.5073534,-80.9488518
04/10/2013,CARROLL,AUGUSTA,34019223910000,Permitted,CHESAPEAKE EXPLORATION LLC,LOZIER 14-5-5 10H,40.6859418,-81.0045758,40.6725324,-80.9904556
04/12/2013,CARROLL,PERRY,34019223920000,Producing,CHESAPEAKE EXPLORATION LLC,WALTERS 30-12-5 1H,40.4714479,-81.0596016,40.4820486,-81.0714844
04/12/2013,CARROLL,PERRY,34019223930000,Producing,CHESAPEAKE EXPLORATION LLC,WALTERS 30-12-5 5H,40.4714744,-81.0595291,40.4847496,-81.065541
04/12/2013,CARROLL,PERRY,34019223940000,Producing,CHESAPEAKE EXPLORATION LLC,WALTERS 30-12-5 3H,40.4715028,-81.0596004,40.4833758,-81.0685151
04/23/2013,CARROLL,LEE,34019223950000,Producing,CHESAPEAKE EXPLORATION LLC,P BROWN 9-13-5 10H,40.502393,-81.0021752,40.4925199,-80.9906355
05/20/2013,CARROLL,LEE,34019223960000,Producing,CHESAPEAKE EXPLORATION LLC,P BROWN 9-13-5 3H,40.5024269,-81.0022428,40.5173441,-81.0131013
04/23/2013,CARROLL,LEE,34019223970000,Producing,CHESAPEAKE EXPLORATION LLC,P BROWN 9-13-5 6H,40.5023172,-81.002256,40.4899519,-80.9965906
06/10/2013,CARROLL,LEE,34019223990000,Producing,CHESAPEAKE EXPLORATION LLC,COOPER 8-13-5 10H,40.498891,-81.0125497,40.4888476,-81.0005095
06/03/2013,CARROLL,LEE,34019224000000,Producing,CHESAPEAKE EXPLORATION LLC,COOPER 8-13-5 5H,40.4989382,-81.0125882,40.5146293,-81.0196833
06/03/2013,CARROLL,LEE,34019224010000,Producing,CHESAPEAKE EXPLORATION LLC,COOPER 8-13-5 1H,40.4989229,-81.012682,40.5190325,-81.0273086
06/10/2013,CARROLL,LEE,34019224020000,Producing,CHESAPEAKE EXPLORATION LLC,COOPER 8-13-5 8H,40.4988313,-81.012605,40.4874601,-81.0037731
06/10/2013,CARROLL,LEE,34019224030000,Drilled,CHESAPEAKE EXPLORATION LLC,COOPER 8-13-5 6H,40.4988785,-81.0126435,40.4860774,-81.0069934
05/30/2013,CARROLL,FOX,34019224040000,Permitted,CHESAPEAKE EXPLORATION LLC,JONES A 33-13-4 1H,40.5996679,-80.9695535,40.6139202,-80.9832493
07/02/2013,CARROLL,EAST,34019224050000,Producing,CHESAPEAKE EXPLORATION LLC,BAINTER 25-15-5 10H,40.6678513,-80.9906449,40.6586475,-80.9801551
05/01/2013,CARROLL,PERRY,34019224080000,Producing,CHESAPEAKE EXPLORATION LLC,WALTERS 30-12-5 10H,40.4714196,-81.0595303,40.4584461,-81.0455286
06/10/2013,CARROLL,PERRY,34019224090000,Producing,CHESAPEAKE EXPLORATION LLC,SMITH NURSERY 19-13-5 6H,40.4835843,-81.0398814,40.4647936,-81.0318253
05/01/2013,CARROLL,PERRY,34019224100000,Producing,CHESAPEAKE EXPLORATION LLC,WALTERS 30-12-5 6H,40.471393,-81.0596028,40.4556102,-81.0520054
09/03/2013,CARROLL,WASHINGTON,34019224110000,Producing,R E GAS DEVELOPMENT LLC,OCEL 2H,40.6285829,-80.9896705,40.6181948,-80.9778775
05/02/2013,CARROLL,WASHINGTON,34019224120000,Producing,R E GAS DEVELOPMENT LLC,OCEL 3H,40.6285671,-80.9897213,40.6164973,-80.9827762
05/30/2013,CARROLL,FOX,34019224140000,Producing,CHESAPEAKE EXPLORATION LLC,JONES A 33-13-4 10H,40.5996803,-80.9694559,40.583899,-80.9526508
06/14/2013,CARROLL,FOX,34019224170000,Producing,CHESAPEAKE EXPLORATION LLC,JONES A 33-13-4 3H,40.5997151,-80.969592,40.6153952,-80.9797897
11/05/2013,CARROLL,LOUDON,34019224180000,Producing,CHESAPEAKE EXPLORATION LLC,WOODLAND 26-12-4 6H,40.488088,-80.9509941,40.4718732,-80.9434808
06/03/2013,CARROLL,LEE,34019224190000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 3H,40.5036187,-81.0521012,40.5170835,-81.0613657
08/08/2013,CARROLL,LEE,34019224200000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 6H,40.5035113,-81.0520712,40.4843844,-81.0412625
08/08/2013,CARROLL,LEE,34019224210000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 8H,40.5034991,-81.0519743,40.4857675,-81.0379963
06/17/2013,CARROLL,LEE,34019224220000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 1H,40.5035636,-81.0520844,40.5157045,-81.0645753
06/03/2013,CARROLL,LEE,34019224230000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 5H,40.5036065,-81.0520044,40.5184054,-81.0584342
08/08/2013,CARROLL,LEE,34019224240000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 10H,40.5035514,-81.0519912,40.4871504,-81.03473
07/17/2013,CARROLL,PERRY,34019224250000,Producing,CHESAPEAKE EXPLORATION LLC,SMITH NURSERY 19-13-5 10H,40.4835008,-81.0397862,40.467755,-81.0249485
07/17/2013,CARROLL,PERRY,34019224260000,Producing,CHESAPEAKE EXPLORATION LLC,SMITH NURSERY 19-13-5 12H,40.483459,-81.0397404,40.4722149,-81.0237893
06/10/2013,CARROLL,PERRY,34019224270000,Producing,CHESAPEAKE EXPLORATION LLC,SMITH NURSERY 19-13-5 8H,40.4835425,-81.039832,40.4662969,-81.0283236
05/15/2013,CARROLL,LOUDON,34019224280000,Producing,CHESAPEAKE EXPLORATION LLC,JC ACRES 12-12-5 1H,40.4694464,-81.0055401,40.4811303,-81.0164733
07/08/2013,CARROLL,UNION,34019224290000,Drilled,CHESAPEAKE EXPLORATION LLC,MITCHELL 34-13-5 8H,40.5207149,-81.0826226,40.5078243,-81.0743516
07/08/2013,CARROLL,UNION,34019224300000,Drilled,CHESAPEAKE EXPLORATION LLC,MITCHELL 34-13-5 10H,40.5207471,-81.0825643,40.5091229,-81.0712775
09/16/2013,CARROLL,UNION,34019224310000,Drilling,CHESAPEAKE EXPLORATION LLC,MITCHELL 34-13-5 5H,40.5208187,-81.0825844,40.5311866,-81.088487
09/16/2013,CARROLL,UNION,34019224320000,Drilling,CHESAPEAKE EXPLORATION LLC,MITCHELL 34-13-5 3H,40.5207865,-81.0826462,40.5299897,-81.0904912
07/08/2013,CARROLL,UNION,34019224330000,Drilled,CHESAPEAKE EXPLORATION LLC,MITCHELL 34-13-5 6H,40.5206854,-81.0826844,40.5065815,-81.077277
09/16/2013,CARROLL,UNION,34019224340000,Drilling,CHESAPEAKE EXPLORATION LLC,MITCHELL 34-13-5 1H,40.5207571,-81.0827044,40.5290505,-81.0926913
06/17/2013,CARROLL,LOUDON,34019224450000,Producing,CHESAPEAKE EXPLORATION LLC,JC ACRES 12-12-5 6H,40.4694205,-81.0054509,40.4536626,-80.9952353
06/17/2013,CARROLL,LOUDON,34019224460000,Producing,CHESAPEAKE EXPLORATION LLC,JC ACRES 12-12-5 8H,40.4694582,-81.0053997,40.4549094,-80.9923609
11/05/2013,CARROLL,LOUDON,34019224470000,Producing,CHESAPEAKE EXPLORATION LLC,WOODLAND 26-12-4 3H,40.4879811,-80.951011,40.5011488,-80.9620509
06/03/2013,CARROLL,WASHINGTON,34019224480000,Producing,CHESAPEAKE EXPLORATION LLC,SCHMUCK FARMS 22-14-5 4H,40.6109945,-81.0403063,40.5893698,-81.0334495
06/13/2013,CARROLL,WASHINGTON,34019224500100,Drilled,R E GAS DEVELOPMENT LLC,JENKINS UNIT 5H,40.6081546,-81.0618871,40.5967043,-81.053207
06/13/2013,CARROLL,WASHINGTON,34019224510000,Drilled,R E GAS DEVELOPMENT LLC,JENKINS UNIT 4H,40.608147,-81.0619413,40.6251191,-81.0769224
06/13/2013,CARROLL,WASHINGTON,34019224520000,Drilled,R E GAS DEVELOPMENT LLC,JENKINS UNIT 3H,40.6081422,-81.0619954,40.5967123,-81.0531852
06/13/2013,CARROLL,WASHINGTON,34019224530000,Permitted,R E GAS DEVELOPMENT LLC,JENKINS UNIT 1H,40.6081346,-81.062046,40.5968039,-81.055877
06/13/2013,CARROLL,WASHINGTON,34019224540000,Permitted,R E GAS DEVELOPMENT LLC,JENKINS UNIT 2H,40.6081298,-81.0621001,40.622992,-81.0782866
07/17/2013,CARROLL,PERRY,34019224550000,Drilled,CHESAPEAKE EXPLORATION LLC,JAVERSAK 28-12-5 5H,40.4352119,-81.0641248,40.4499202,-81.0708258
06/21/2013,CARROLL,FOX,34019224560000,Producing,CHESAPEAKE EXPLORATION LLC,BEADNELL A 21-13-4 3H,40.5907825,-80.9369588,40.607704,-80.9479794
06/27/2013,CARROLL,LEE,34019224570000,Drilled,CHESAPEAKE EXPLORATION LLC,HOUYOUSE 15-13-5 5H,40.5100636,-81.0292298,40.5233467,-81.0372391
06/27/2013,CARROLL,LEE,34019224580000,Drilled,CHESAPEAKE EXPLORATION LLC,HOUYOUSE 15-13-5 3H,40.5101002,-81.0293009,40.5226794,-81.0385093
06/26/2014,CARROLL,EAST,34019224630000,Permitted,CHESAPEAKE EXPLORATION LLC,7R 20-14-4 8H,40.6856076,-80.9521338,40.6621046,-80.9363725
07/18/2014,CARROLL,EAST,34019224650000,Permitted,CHESAPEAKE EXPLORATION LLC,7R 20-14-4 1H,40.6856607,-80.9522011,40.7012505,-80.9703204
07/23/2013,CARROLL,FOX,34019224670000,Permitted,CHESAPEAKE EXPLORATION LLC,SPAHR 35-13-4 5H,40.6198521,-80.9675322,40.6377758,-80.976319
11/01/2013,CARROLL,PERRY,34019224720000,Drilled,CHESAPEAKE EXPLORATION LLC,R MILLER 25-13-5 10H,40.4771442,-81.0771042,40.4652894,-81.0636777
07/19/2013,CARROLL,FOX,34019224730000,Drilled,CHESAPEAKE EXPLORATION LLC,BEADNELL 12-13-4 3H,40.6424315,-80.8959054,40.6654011,-80.9117795
07/19/2013,CARROLL,PERRY,34019224740000,Drilled,CHESAPEAKE EXPLORATION LLC,JAVERSAK 28-12-5 1H,40.4351917,-81.0642617,40.4466903,-81.078405
07/19/2013,CARROLL,PERRY,34019224750000,Drilling,CHESAPEAKE EXPLORATION LLC,JAVERSAK 28-12-5 3H,40.435235,-81.0642141,40.4483067,-81.0746154
08/09/2013,CARROLL,AUGUSTA,34019224760000,Drilled,CHESAPEAKE EXPLORATION LLC,HUTCHISON 33-15-5 1H,40.6504962,-81.037892,40.6629878,-81.0521883
11/04/2013,CARROLL,PERRY,34019224770000,Drilled,CHESAPEAKE EXPLORATION LLC,R MILLER 25-13-5 8H,40.4770344,-81.0771066,40.4637734,-81.0669128
07/23/2013,CARROLL,PERRY,34019224780000,Permitted,CHESAPEAKE EXPLORATION LLC,R MILLER 25-13-5 6H,40.4771179,-81.0771947,40.4624578,-81.0703663
08/08/2013,CARROLL,AUGUSTA,34019224800000,Drilled,CHESAPEAKE EXPLORATION LLC,HUTCHISON 33-15-5 3H,40.6504953,-81.0378199,40.664444,-81.0488111
08/08/2013,CARROLL,AUGUSTA,34019224820000,Drilled,CHESAPEAKE EXPLORATION LLC,HUTCHISON 33-15-5 5H,40.6504944,-81.0377479,40.6659685,-81.0451979
08/01/2013,CARROLL,LEE,34019224840000,Drilled,CHESAPEAKE EXPLORATION LLC,WHITE 17-13-5 1H,40.5331376,-81.0266402,40.5464313,-81.0410392
08/01/2013,CARROLL,LEE,34019224850000,Drilled,CHESAPEAKE EXPLORATION LLC,WHITE 17-13-5 5H,40.5330622,-81.0265375,40.5494087,-81.0340785
09/19/2013,CARROLL,WASHINGTON,34019224860100,Drilled,R E GAS DEVELOPMENT LLC,GRUNDER 7H,40.6065714,-81.0844117,40.5951328,-81.0725621
09/06/2013,CARROLL,LEE,34019224870000,Drilled,CHESAPEAKE EXPLORATION LLC,WHITE 17-13-5 6H,40.5331278,-81.0267267,40.5168147,-81.0192678
09/06/2013,CARROLL,LEE,34019224880000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 8H-X,40.5034562,-81.0520544,40.4856791,-81.0379551
09/06/2013,CARROLL,LEE,34019224890000,Drilled,CHESAPEAKE EXPLORATION LLC,BRYAN SHAW 21-13-5 3H-X,40.5036589,-81.0520212,40.5170274,-81.0614892
09/06/2013,CARROLL,LEE,34019224900000,Drilled,CHESAPEAKE EXPLORATION LLC,HOUYOUSE 15-13-5 7H,40.5099359,-81.0293369,40.4974093,-81.0223425
09/06/2013,CARROLL,LEE,34019224910000,Drilled,CHESAPEAKE EXPLORATION LLC,HOUYOUSE 15-13-5 10H,40.5100088,-81.0292382,40.4965807,-81.0153882
11/15/2013,CARROLL,LEE,34019224920000,Drilled,CHESAPEAKE EXPLORATION LLC,SMELTZ 23-13-5 1H,40.539408,-81.0474506,40.5609964,-81.0660886
10/17/2013,CARROLL,LEE,34019224950000,Drilled,CHESAPEAKE EXPLORATION LLC,SMELTZ 23-13-5 6H,40.5393531,-81.0474518,40.5251338,-81.0400203
10/17/2013,CARROLL,LEE,34019224960000,Drilled,CHESAPEAKE EXPLORATION LLC,SMELTZ 23-13-5 8H,40.5393794,-81.0473613,40.5264635,-81.0364475
09/19/2013,CARROLL,WASHINGTON,34019224980000,Drilled,R E GAS DEVELOPMENT LLC,GRUNDER 5H,40.6065583,-81.0844624,40.5937338,-81.0757324
10/09/2013,CARROLL,FOX,34019225040000,Drilling,CHESAPEAKE EXPLORATION LLC,LAFFERTY 17-13-4 1H,40.6176277,-80.9178533,40.6310333,-80.9286107
10/09/2013,CARROLL,FOX,34019225060000,Drilled,CHESAPEAKE EXPLORATION LLC,LAFFERTY 17-13-4 6H,40.6175441,-80.9177652,40.6012708,-80.9069799
02/21/2014,CARROLL,PERRY,34019225070000,Drilled,CHESAPEAKE EXPLORATION LLC,POINSETTIA 36-12-5 8H,40.466179,-81.0830211,40.4514979,-81.0718484
02/21/2014,CARROLL,PERRY,34019225080000,Drilled,CHESAPEAKE EXPLORATION LLC,POINSETTIA 36-12-5 6H,40.4661798,-81.083093,40.4504898,-81.0742166
02/04/2014,CARROLL,PERRY,34019225090000,Drilled,CHESAPEAKE EXPLORATION LLC,POINSETTIA 36-12-5 1H,40.466248,-81.0830556,40.4807402,-81.0963762
10/22/2013,CARROLL,PERRY,34019225100000,Drilled,CHESAPEAKE EXPLORATION LLC,R MILLER 25-13-5 9H,40.4770893,-81.0771054,40.4646149,-81.0652737
10/28/2013,CARROLL,PERRY,34019225180000,Drilling,CHESAPEAKE EXPLORATION LLC,JAVERSAK 28-12-5 10H,40.4351686,-81.0641724,40.4200608,-81.0487369
10/28/2013,CARROLL,PERRY,34019225190000,Drilled,CHESAPEAKE EXPLORATION LLC,JAVERSAK 28-12-5 6H,40.4351511,-81.0643093,40.4180016,-81.0571648
10/28/2013,CARROLL,PERRY,34019225200000,Drilled,CHESAPEAKE EXPLORATION LLC,JAVERSAK 28-12-5 8H,40.4351279,-81.0642164,40.4196618,-81.0534185
01/03/2014,CARROLL,LEE,34019225210000,Drilled,CHESAPEAKE EXPLORATION LLC,PETERSON 36-12-4 1H,40.5466183,-80.9659912,40.559682,-80.9792382
01/03/2014,CARROLL,LEE,34019225220000,Drilled,CHESAPEAKE EXPLORATION LLC,PETERSON 36-12-4 3H,40.5466674,-80.9659648,40.5605165,-80.9769658
01/03/2014,CARROLL,LEE,34019225230000,Drilled,CHESAPEAKE EXPLORATION LLC,PETERSON 36-12-4 5H,40.5467192,-80.9659384,40.5613537,-80.9746897
01/21/2014,CARROLL,LEE,34019225240000,Drilled,CHESAPEAKE EXPLORATION LLC,PETERSON 36-12-4 6H,40.546568,-80.9659203,40.5249397,-80.9526618
01/21/2014,CARROLL,LEE,34019225250000,Drilled,CHESAPEAKE EXPLORATION LLC,PETERSON 36-12-4 8H,40.546617,-80.965894,40.5258852,-80.9501071
01/21/2014,CARROLL,LEE,34019225260000,Drilled,CHESAPEAKE EXPLORATION LLC,PETERSON 36-12-4 10H,40.5466688,-80.9658676,40.5268355,-80.947912
01/03/2014,CARROLL,LEE,34019225270000,Drilled,CHESAPEAKE EXPLORATION LLC,PETERSON 36-12-4 201H,40.5465665,-80.9660139,40.5583983,-80.9811788
11/07/2013,CARROLL,WASHINGTON,34019225280000,Drilled,R E GAS DEVELOPMENT LLC,GRUNDER 1H,40.6065349,-81.0845673,40.5916075,-81.0793719
11/07/2013,CARROLL,WASHINGTON,34019225290000,Drilled,R E GAS DEVELOPMENT LLC,GRUNDER 9H,40.6065818,-81.084361,40.5960465,-81.0707634
11/07/2013,CARROLL,WASHINGTON,34019225300000,Drilled,R E GAS DEVELOPMENT LLC,GRUNDER 3H,40.606548,-81.0845166,40.5926688,-81.077509
01/27/2014,CARROLL,UNION,34019225310000,Drilled,CHESAPEAKE EXPLORATION LLC,STANTON 29-13-5 1H,40.5376439,-81.0562039,40.5573058,-81.0747992
01/27/2014,CARROLL,UNION,34019225320000,Drilling,CHESAPEAKE EXPLORATION LLC,STANTON 29-13-5 3H,40.537654,-81.0561318,40.5582392,-81.072598
01/27/2014,CARROLL,UNION,34019225330000,Drilling,CHESAPEAKE EXPLORATION LLC,STANTON 29-13-5 5H,40.5376668,-81.0560595,40.5591725,-81.0703968
01/27/2014,CARROLL,UNION,34019225340000,Drilled,CHESAPEAKE EXPLORATION LLC,STANTON 29-13-5 6H,40.5375727,-81.0562199,40.5153178,-81.0470159
12/02/2013,CARROLL,UNION,34019225350000,Drilled,CHESAPEAKE EXPLORATION LLC,STANTON 29-13-5 8H,40.5375828,-81.0561513,40.5168514,-81.0434789
12/02/2013,CARROLL,UNION,34019225360000,Drilled,CHESAPEAKE EXPLORATION LLC,STANTON 29-13-5 10H,40.5375929,-81.0560791,40.5237849,-81.0436042
12/26/2013,CARROLL,AUGUSTA,34019225370000,Drilled,CHESAPEAKE EXPLORATION LLC,KINSEY 21-15-5 5H,40.6698267,-81.0377368,40.6836423,-81.0460258
12/04/2013,CARROLL,CENTER,34019225390000,Drilled,CHESAPEAKE EXPLORATION LLC,GF FARMS 25-14-5 10H,40.5672307,-81.0584307,40.5479856,-81.0421567
11/15/2013,CARROLL,LEE,34019225400000,Drilled,CHESAPEAKE EXPLORATION LLC,BAILEY 35-12-4 5H,40.5363944,-80.9731534,40.5562695,-80.9852297
11/18/2013,CARROLL,LOUDON,34019225410000,Drilled,CHESAPEAKE EXPLORATION LLC,LUCAS 35-11-4 5H,40.4495557,-80.961269,40.4628416,-80.9658359
